Time (s),ax_body (m/s2),ay_body (m/s2),az_body (m/s2),wx_body (rad/s2),wy_body (rad/s2),wz_body (rad/s2),x_actual (m),y_actual (m),z_actual (m)
0.0,-0.004178713542423304,0.031319178361075645,9.811713352006896,-0.0013671078279953726,-0.0007070209975024569,-1.7866945162712295e-05,0.0,0.0,1.9999999999944273
0.001,0.012857823556452328,-0.01178473115183394,9.804373307993774,0.0013864073203052963,-0.00148227426713063,0.0017680520604370312,1.5870709600541525e-13,-3.6987530022951197e-13,1.9999999999960023
0.002,-0.005082138014501518,-0.04269158752157108,9.799745704625712,0.0008213964630550838,0.004246092103658934,-0.004475971867697378,1.2406333266931374e-12,-1.9890002216428053e-12,2.000000000056401
0.003,-0.007677390143203353,0.011392276384125743,9.791381933705528,0.0005670722155550562,0.001247751243160621,0.002059233860464077,3.859923074316977e-12,-5.412349721772216e-12,2.0000000002696616
0.004,-0.04201419056082949,-0.012362650492438808,9.80807338070609,-0.005020786847659933,-0.0023014157557169662,-0.00046154714422644955,6.889908069386537e-12,-1.0343710002573116e-11,2.0000000007029133
0.005,0.008569855534981623,-0.009125135672076639,9.856402816161967,-0.0037854357691296764,-0.00044799106251417376,0.005672669524779712,8.394247691674024e-12,-1.6921797775678168e-11,2.0000000012118937
0.006,0.013502721887992628,-0.032680794277461594,9.759581787370452,0.001799207019513962,0.00043169020729833365,-0.0080716555466139,7.552452626860929e-12,-2.7796764241984305e-11,2.000000001809811
0.007,-0.015297909189624549,0.0008982950969129304,9.772718251947056,-0.0011068982124118304,-0.000275734429562588,0.0029067531470720488,4.490508149992031e-12,-4.749845659337714e-11,2.000000002782136
0.008,-0.003202933340485284,0.004926883356107512,9.779441513330953,0.0009658666795733131,0.0011727562543509935,-0.0016694443550976377,-3.67686803230756e-13,-8.030083384689419e-11,2.0000000043502784
0.009000000000000001,0.02661966045324291,0.0035881203820061617,9.802382254449876,0.0005505401963172972,-0.003140381881043667,0.0018086231115601325,-6.435676229388693e-12,-1.2977155973944346e-10,2.00000000663957
0.01,-0.01383854268835433,-0.018985762426227345,9.804687251036082,-0.002263993684134901,-0.0019841164297600936,0.0013983633176481167,-1.2538743767620734e-11,-1.986360779060078e-10,2.000000009693456
0.011,0.0034956497908448627,-0.0015079869362904007,9.821682260608105,-0.00019773737158467755,0.0033949002596014364,3.531478939238506e-05,-1.5751742395166252e-11,-2.890804333439821e-10,2.000000013492679
