Time (s),ax_body (m/s2),ay_body (m/s2),az_body (m/s2),wx_body (rad/s2),wy_body (rad/s2),wz_body (rad/s2),x_actual (m),y_actual (m),z_actual (m)
0.0,-0.030265255414717817,-0.02607667936180188,9.822632106016952,-0.003771498451571445,0.002895180701301152,-0.00219443015663221,0.0,0.0,2.0000013651386923
0.001,-0.019092873148996107,0.01947800490620764,12.514000069750125,-0.47287032249140426,-0.002650084556612189,-0.0020860098873182083,-1.170208190722356e-24,1.5022588317827493e-09,2.000005514344588
0.002,0.001331756887400455,-0.002658679842609514,12.67265506707163,-0.9321263083394783,-9.280242272397549e-05,-0.0028824030257335828,-7.051206851790842e-24,1.050965859853145e-08,2.000012554487809
0.003,0.008728224219310594,-0.028859866325193204,12.763045821586152,-1.3729549568689514,0.0007156685177284906,-0.0008445333441198944,-2.272102846174725e-23,3.8981099321362115e-08,2.000022590968683
0.004,-0.003690930612446736,0.0032827597809629606,12.83924441028403,-1.795423320902794,-0.001774098633747197,-0.0006618232114327428,-5.423909115828242e-23,1.0474572790056054e-07,2.0000357276167056
0.005,-0.01785463565721946,-0.009255203121332739,12.946751449834618,-2.1999196320825187,0.005604466558472969,-0.00047310656198340506,-1.0896647308606375e-22,2.3140858329976043e-07,2.000052066590804
0.006,0.024973536943858628,-0.046687207195657617,13.074837636573927,-2.5904953155749193,-0.00014945844723364675,0.0012845202662991738,-1.9468078216191518e-22,4.482479135405142e-07,2.0000717082814807
0.007,0.0076800586791295,-0.046749416649060016,13.16659813548593,-2.961619644230673,5.185757266164697e-05,-0.003464967798532928,-3.186692007699375e-22,7.901044706573456e-07,2.0000947512153484
0.008,0.0036944467685914905,-0.05010633055154498,13.274916161473406,-3.3125389258668956,-0.0036967705743412536,-0.0018400909194180052,-4.877128287816174e-22,1.297263134567542e-06,2.0001212919625107
0.009000000000000001,0.018809208149496024,-0.02107858705361327,13.36037265111792,-3.6587660859991256,-6.448734219354162e-05,0.0026605493240374274,-7.077618369635537e-22,2.015327255600333e-06,2.0001514250471772
0.01,0.024867816590039594,-0.06744607127480369,13.465789933406393,-3.98336094813162,-2.0519420069179146e-05,0.000639475587766586,-9.842295019208307e-22,2.995086138132139e-06,2.000185242861854
0.011,-0.03784739875309576,-0.0504116926653977,13.53827003767952,-4.292602510831586,0.001551426136529482,-0.002316357176325555,-1.3232340283807859e-21,4.29237611446823e-06,2.0002228355853964
0.012,0.036986537033595585,-0.0828117156087074,13.633812309199616,-4.586481211028102,0.0006379913317982034,-0.0010182401219414987,-1.7319284259620806e-21,5.96793567900362e-06,2.000264291105179
0.013000000000000001,-0.019790826554756585,-0.07223666073812773,13.709074997740126,-4.866138275999993,0.0036235249910617977,-0.0024515384540145877,-2.2172466341353632e-21,8.08725516809468e-06,2.000309694943579
0.014,0.016760611536175536,-0.07870866269060413,13.811389472146475,-5.135967062928274,-0.0021835960803521857,0.0013124779771589248,-2.7852533170023194e-21,1.0720421481359484e-05,2.000359130188948
0.015,0.01701994479986565,-0.08080520865176653,13.888268527777056,-5.38474197773878,0.002353342032240773,0.0015202850121899625,-3.441763713228345e-21,1.394195834573157e-05,2.0004126774312185
0.016,-0.0002596952335393145,-0.08440421183819742,13.977582519277442,-5.621521221233029,0.0003953708455557419,-0.0001551798319679702,-4.193299534374948e-21,1.7830662624980544e-05,2.0004704147022405
0.017,0.004197356879043858,-0.08124506011078685,14.034209169823791,-5.8503352330574625,-0.0010787691607961694,0.0035120025343540824,-5.047748944848597e-21,2.2469437175057275e-05,2.000532417420947
0.018000000000000002,-0.009746559120696557,-0.06484961961733729,14.097176614228099,-6.063635258099316,-0.001846620032493758,-0.0036417755308525497,-6.014077483085444e-21,2.7945120739991394e-05,2.000598758343403
0.019,-0.01122460712390582,-0.09246286841013594,14.249809594304413,-6.257773285423392,0.00371233199825879,0.00016828691953938636,-7.102011531010418e-21,3.434831537461929e-05,2.0006695075177823
0.02,0.01777664267598706,-0.06101721381521347,14.264019912907246,-6.44751965247382,0.00021863978839415044,0.002877868068411111,-8.322356643074058e-21,4.1773211869582515e-05,2.0007447322442933
0.021,-0.01226006873564805,-0.08026385340356601,14.358228873585572,-6.620044893538823,0.0011068173235061253,-0.0004883582330615646,-9.686684457887657e-21,5.0317413641209094e-05,2.0008244970400635
0.022,-0.02250018335457667,-0.092123498414472,14.411131559587806,-6.787519992839119,-0.0013265582530530514,-0.00013557726408597152,-1.1206031406196079e-20,6.008175953443947e-05,2.000908863608972
0.023,0.03297294193459652,-0.0859786039557071,14.511839113753972,-6.939298440205067,-0.0002281705041458274,-0.0012939738903394382,-1.2890539689329869e-20,7.117014597121214e-05,2.0009978908164068
0.024,0.012388947885619945,-0.0927741605537532,14.582265524443732,-7.078159311870942,0.002494663425418227,0.0032859770360441787,-1.4750092033277453e-20,8.368934885997332e-05,2.001091634668917
0.025,0.0031857007772026318,-0.08595161681373566,14.664078881002812,-7.2083729185517935,-0.0003184864505004647,-0.004645218541643483,-1.6795319812163988e-20,9.774884566447333e-05,2.0011901482987065
0.026000000000000002,-0.013007935144744685,-0.0925524045499479,14.691966957788697,-7.330054070651391,0.0003955480244825813,-0.0009132694047991869,-1.903760437657196e-20,0.00011346063801197973,2.001293481952914
0.027,-0.005151429697813601,-0.11450165046259926,14.743530061566187,-7.435007504162272,-9.67690191447052e-05,0.001316432826580479,-2.148771345071386e-20,0.00013093907520265937,2.001401682987614
0.028,-0.0014969742423151385,-0.11708999953692498,14.820338604943874,-7.541987310659468,-0.0015844861102810566,-0.00026890376593842875,-2.4155426085222858e-20,0.00015030067896331536,2.0015147958664556
0.029,-0.02193074620346543,-0.1529764911147365,14.827682085641987,-7.6314317605506075,-2.8220202414141215e-05,-0.0008309806714749329,-2.7049840249257524e-20,0.00017166396977004043,2.0016328621638557
0.03,-0.013422124857956106,-0.1460223357773322,14.97969026052299,-7.713141150245083,0.0016785458795101692,-0.001202874322291715,-3.0179730637071695e-20,0.00019514929504577076,2.0017559205726485
0.031,0.007077479675659216,-0.10658944302107659,14.973571670166043,-7.783525040343603,0.0013593891619328243,-0.00044331089654720056,-3.3554257495037434e-20,0.00022087865952028144,2.0018840069160855
0.032,-0.00849361762417344,-0.10255872671465462,15.00971467691311,-7.850556947098781,0.0008240704959682376,2.086117828207977e-05,-3.718296578068314e-20,0.0002489755580219229,2.002017154164077
0.033,0.003202479603723932,-0.12011741208514473,15.067859151257405,-7.9024361302878665,-0.004370302060714436,-0.0010594579670626192,-4.1075436517956604e-20,0.00027956481095241226,2.0021553924535525
0.034,0.01261556765307117,-0.11505430191238689,15.122899852108073,-7.949593934302265,-0.0006457152183100723,0.00046281694699739376,-4.5241283753495774e-20,0.00031277240267830553,2.0022987491128115
0.035,-0.03225972235156003,-0.10557425066107988,15.178350915260673,-7.987472400135137,0.003268041679531266,0.001844889895779709,-4.969015313274985e-20,0.00034872532305541866,2.0024472486897347
0.036000000000000004,0.0016374739619164696,-0.13705364684930169,15.247848916779065,-8.023891426756206,0.0023569600427923135,0.002805346523272798,-5.443105896874577e-20,0.00038755141228546155,2.00260091298371
0.037,-0.011660652125614686,-0.11716352211754301,15.242615048838957,-8.047661689663391,0.0013335450710248132,-0.0006485818451978087,-5.947135794925358e-20,0.0004293792092875188,2.0027597610811334
0.038,-0.025122466635664253,-0.127882999831205,15.331543724678628,-8.063496580630167,-0.0014990605914809196,-0.0007365685288765766,-6.481704149973171e-20,0.000474337803750767,2.0029238093943267
0.039,-0.002248475455939937,-0.13788320598003326,15.333537991021533,-8.074813812111028,-0.0034844307166467343,-0.003147192299026896,-7.04733879443576e-20,0.0005225566920189727,2.0030930717037205
0.04,0.0008428263802997517,-0.1265854634628992,15.419564488782102,-8.079150160761165,0.0018988424449025297,0.0006611551434855611,-7.64447111728484e-20,0.0005741629767529402,2.003267547622888
0.041,0.006499728253334241,-0.1342231935734982,15.41625184845154,-8.079056787423259,0.0004701691765022478,0.004123815567811396,-8.273383311055393e-20,0.000629275267807335,2.0034471984454325
0.042,0.02806966244131714,-0.12072519727462307,15.368866205686343,-8.069863307516448,-0.0014495891018890183,-0.0034870713776527233,-8.93430956815572e-20,0.0006880059677808726,2.0036319602728216
0.043000000000000003,-0.013811169640925098,-0.11476105743399184,15.32582399713765,-8.053574764741565,-0.002574236055387113,0.0033665527074185284,-9.627520611475844e-20,0.0007504668937071872,2.0038217697379554
0.044,0.011237194180737499,-0.13904226800230957,15.277795421227419,-8.037788377105482,-0.0010570822699151482,-0.00040419618385239474,-1.0353164292122064e-19,0.0008167692116023532,2.0040165640049525
0.045,0.01398771728080335,-0.11085073030680226,15.295543822846273,-8.011319478817725,0.0008655441524798451,-0.0023014233996400207,-1.1111231001289913e-19,0.0008870233749370608,2.004216280770538
0.046,0.005212434260706188,-0.1094331444844702,15.25675054232256,-7.980757646438634,0.0029364805491283274,-0.00034393890422671343,-1.1901673650076645e-19,0.0009613390668798693,2.004420858266917
0.047,0.01541206153900008,-0.08143490288071042,15.212639600540543,-7.946016663178378,0.0018516954835608847,0.0008588708126370813,-1.2724447451558487e-19,0.0010398251461627385,2.0046302352660152
0.048,0.024790450238586864,-0.10029132959766371,15.184387239026593,-7.906281732467701,-0.0021160557377412756,-0.00010010785771328737,-1.3579544901551013e-19,0.0011225895964245543,2.0048443510849654
0.049,0.03574054142205506,-0.11315434794452947,15.137533499661386,-7.862202886971606,0.001468887975149633,-0.0018429633729949238,-1.4467030576717039e-19,0.0012097394788926556,2.0050631455927315
0.05,-0.029482345012834244,-0.09494402747772906,15.111686619185837,-7.8160370508028,0.0020741529452337473,-0.0040777987487407115,-1.5387040720294644e-19,0.0013013808882664628,2.0052865592177467
0.051000000000000004,0.029845647285144546,-0.13502801307291334,15.102514484278496,-7.759593066661823,-0.00461918158888874,0.00017129396767902484,-1.6339782858497852e-19,0.0013976189116712355,2.0055145329564645
0.052000000000000005,0.006235325677426108,-0.10355393571233515,15.064272970988926,-7.70461154938361,0.0005204431211709548,0.00099884201909458,-1.7325535446523364e-19,0.0014985575905537801,2.005747008382705
0.053,-0.0091374088431553,-0.11414696426199179,15.055761131797524,-7.64151942186157,0.0014297907863753787,-0.0006644184278693648,-1.8344682338042549e-19,0.001604299885395596,2.0059839276576974
0.054,-0.024790856527514817,-0.14621216666899445,15.010850961539822,-7.580791787678435,0.00013576002371396763,3.055743638940769e-05,-1.939779064989458e-19,0.0017149476431225265,2.0062252335407154
0.055,-0.0031364814613005897,-0.11123563015063752,14.994789015861894,-7.5090919487399965,-0.0027866522033354224,-0.0023363129521982795,-2.0485692555082176e-19,0.0018306015670934727,2.006470869400207
0.056,0.028962806432737086,-0.09465252701626721,15.004312910955178,-7.439390308153809,0.004495613563502491,0.0008846082871123812,-2.1609410617622176e-19,0.0019513611895541584,2.006720779225328
0.057,0.020448982767943436,-0.12072170811037647,15.016969472202417,-7.365328313367913,0.003337223876797735,0.001030572828625694,-2.277000539222408e-19,0.0020773248464453025,2.0069749076377845
0.058,0.014626326904315161,-0.0824417307342576,14.992643666046458,-7.288760377639729,-0.0018441473614715501,-0.0017327214551440906,-2.39684887015342e-19,0.0022085896544578867,2.007233199903908
0.059000000000000004,-0.03240447507867537,-0.09136754790907456,14.938214576078204,-7.211158526622345,0.001627031239754926,-0.0025669781039070905,-2.5205741868102955e-19,0.00234525149023149,2.007495601946872
0.06,0.000985123507219981,-0.12856940192504943,14.908681517070292,-7.127421839099546,-0.0005191831517985845,0.00042449312058097865,-2.648256374663552e-19,0.0024874049715949156,2.0077620603589854
0.061,0.0019500468810688218,-0.1390375412123367,14.922572257245479,-7.043718221126984,0.0014296786055692679,0.0026884900092914955,-2.779975311951944e-19,0.002635143440751562,2.008032522413981
0.062,-0.025754698690272377,-0.10539576552830267,14.880097171553734,-6.956491487554555,-0.0013994700389681509,-0.0012912017915294185,-2.915814332965257e-19,0.0027885589493151864,2.0083069360792387
0.063,-0.013211035538982693,-0.13352471763648538,14.887251293252627,-6.864360882331771,0.0006848836713390971,-0.0018661158464247645,-3.0558671077668953e-19,0.002947742245104873,2.0085852500278776
0.064,0.007884423881983186,-0.11583132792760953,14.863433093584472,-6.774766206350657,-6.092276383125751e-05,-1.5574014513657647e-05,-3.2002376151595967e-19,0.0031127827606111705,2.008867413650659
0.065,-0.004963327639960499,-0.08884323799654939,14.8556528019469,-6.685550261481122,0.0017489918806075917,0.00034251853440571054,-3.3490298115232347e-19,0.0032837686030484613,2.009153377067647
0.066,-0.011210563440547801,-0.06965481535260586,14.837995979798112,-6.591664329174218,0.0002716369363260291,-0.002874193888796567,-3.502344202263354e-19,0.0034607865459117277,2.009443091139575
0.067,-0.017961647805224745,-0.09642919884557385,14.843585606770706,-6.495332250277294,0.0017988011442222436,-0.001247367260881051,-3.6602881503944115e-19,0.0036439220219589147,2.0097365074788764
0.068,0.028719333545820732,-0.10446276017870136,14.819926883793771,-6.394511176139675,-0.0006936606665289521,0.0007864496937319481,-3.8229750194170514e-19,0.00383325911754311,2.010033578460329
0.069,-0.04309237299530864,-0.07882722198286357,14.827147329280608,-6.292880661335285,-0.0009468676709391202,0.00253251599022788,-3.9905023160150884e-19,0.004028880568221742,2.010334257231285
0.07,-0.000580509997814057,-0.07795241429578322,14.783850376328887,-6.196794204672879,-0.0031063012507680588,-0.0026870717264664335,-4.162930728864122e-19,0.004230867755572918,2.010638497721446
0.07100000000000001,0.017768894205530194,-0.08416518985063644,14.784293960033127,-6.0943869361489424,-0.0013118552510702648,-0.003582694032433044,-4.340283755002801e-19,0.004439300705151929,2.010946254652152
0.07200000000000001,0.0016931506906011212,-0.1342621808732047,14.803822070493801,-5.990801517887971,-2.9838908475015476e-06,0.0005765875798831275,-4.522561018951449e-19,0.004654258085523768,2.0112574835451604
0.073,-0.013439103245837155,-0.07220708801364263,14.787458798979017,-5.889752879179253,0.0003610159237800974,-0.0013615996812116418,-4.709745132242088e-19,0.004875817208310299,2.0115721407308866
0.074,0.021992820184627792,-0.06051215624798387,14.793840361215334,-5.78569552422803,0.0010033395620100327,0.005317614460002097,-4.901799120566615e-19,0.0051040540291934465,2.0118901833560887
0.075,0.020328777305789483,-0.08601440027234139,14.785112736178665,-5.682261449763465,-0.001876131453656322,-0.0016348000390608744,-5.098658727607518e-19,0.005339043149818429,2.0122115693909746
0.076,0.000986695329721608,-0.07764474585849268,14.801815773289489,-5.572820344052603,0.0023229365182346343,0.0015566905710144164,-5.300228144246288e-19,0.005580857820543675,2.0125362576357197
0.077,-0.01982595295714982,-0.08015231052429353,14.786730129786305,-5.470627549033248,0.0028135095848191094,-0.005399837069509573,-5.5063748845529555e-19,0.0058295699439865805,2.0128642077263796
0.078,-0.04304803864727683,-0.09594321036027609,14.793195616825452,-5.366545968468371,0.0019212754105736882,-0.001235830609505373,-5.716912671766106e-19,0.0060852500793167515,2.013195380140188
0.079,-0.00023007290686432016,-0.07203371432938459,14.832649101315484,-5.260597891566604,-0.0012761905877158104,-0.0007650193852461277,-5.93158859438962e-19,0.006347967447250753,2.0135297362002342
0.08,-0.008329050719479657,-0.06897592737656559,14.788249652395288,-5.151292945772925,0.00017847047287146707,0.001602997040671929,-6.150077104612735e-19,0.006617789935704712,2.0138672380795133
0.081,0.014084770287607712,-0.06741748797649949,14.7700678950733,-5.047664301175627,-5.441198814355467e-05,0.001078758678534599,-6.371968008112804e-19,0.006894784106063376,2.0142078488043422
0.082,-0.00014182136000428168,-0.07260394268161316,14.76731105881104,-4.941303490467968,0.00046670754022374184,0.003756142117248539,-6.596757848338102e-19,0.007179015200026376,2.014551532257149
0.083,0.016059393204263583,-0.1054306159252211,14.798450740895518,-4.829596563593354,-0.001725440642922411,-0.0033163399099228347,-6.8238378597147e-19,0.007470547146994557,2.0148982531786253
0.084,0.026522001878682495,-0.07025108223501213,14.748165901102565,-4.725382322623899,-0.0011835022785756297,0.0014630817687592834,-7.052474216928925e-19,0.007769442571961228,2.0152479771692517
