Time (s),ax_body (m/s2),ay_body (m/s2),az_body (m/s2),wx_body (rad/s2),wy_body (rad/s2),wz_body (rad/s2),x_actual (m),y_actual (m),z_actual (m)
0.013000000000000001,1.0037047683829884e-17,-8.666252919734031e-36,4.3281738988892045,2.1382117680737565e-50,9.25185853854297e-17,1.233581138472396e-16,4.808801684375158e-22,1.927391775518815e-40,2.0004264060065
0.014,1.0944933875190446e-17,-1.0121759576732521e-35,4.325159707434212,4.276423536147513e-50,9.25185853854297e-17,1.233581138472396e-16,6.003011257327135e-22,2.591061534582768e-40,2.000489387504969
0.015,1.1852821656005278e-17,-1.1689227059200754e-35,4.3221283361416365,2.1382117680737565e-50,9.25185853854297e-17,1.233581138472396e-16,7.380248214116092e-22,3.412977663999424e-40,2.0005566896074383
0.016,1.2760711037441091e-17,-1.3368655367827504e-35,4.3190796643145415,0.0,9.25185853854297e-17,1.233581138472396e-16,8.953543555927944e-22,4.416485127315709e-40,2.0006283092565247
0.017,1.3668602030758203e-17,-1.5160044503307272e-35,4.316013570244186,2.1382117680737565e-50,9.25185853854297e-17,1.233581138472396e-16,1.0735922367815925e-21,5.6265305286081e-40,2.000704243377362
0.018000000000000002,1.4576494647311337e-17,-1.706339446634043e-35,4.312929931201541,0.0,9.25185853854297e-17,1.233581138472396e-16,1.27404037682352e-21,7.069660964855733e-40,2.0007844888774766
0.019,1.5484388898550384e-17,-1.907870525763318e-35,4.309828623428743,4.276423536147513e-50,9.25185853854297e-17,1.233581138472396e-16,1.4980000858104173e-21,8.774022865337332e-40,2.0008690426466638
0.02,1.639228479602124e-17,-2.1205976877897663e-35,4.3067095221304985,0.0,9.25185853854297e-17,1.233581138472396e-16,1.746772066938757e-21,1.0769360817900227e-39,2.000957901556863
0.021,1.730018235136656e-17,-2.3445209327851993e-35,4.303572501465448,4.276423536147513e-50,9.25185853854297e-17,1.233581138472396e-16,2.0216564113196305e-21,1.3087016381947823e-39,2.00105106246203
0.022,1.8208081576326597e-17,-2.57964026082203e-35,4.300417434537474,4.276423536147513e-50,9.25185853854297e-17,1.233581138472396e-16,2.3239525927399112e-21,1.5759926887989994e-39,2.001148522198011
0.023,1.9115982482739988e-17,-2.801078312877891e-35,4.297244193386982,-3.4952061953694245e-35,9.25185853854297e-17,6.16790569236198e-17,2.6549594623740874e-21,1.882821619871058e-39,2.0012502775824137
0.024,2.0023885082544587e-17,-2.886886288304934e-35,4.294052648982097,-3.495206195369419e-35,9.25185853854297e-17,6.16790569236198e-17,3.015975243446248e-21,2.234451341859841e-39,2.001356325414476
0.025,2.093178938777826e-17,-2.863743785882803e-35,4.290842671209864,-3.4952061953694224e-35,9.25185853854297e-17,6.16790569236198e-17,3.4082975258417095e-21,2.636795243508345e-39,2.0014666624749387
0.026000000000000002,2.1839695410579705e-17,-2.8461990271787416e-35,4.287614128867364,-3.4952061953694213e-35,9.25185853854297e-17,6.16790569236198e-17,3.8332232606677564e-21,3.09584437177672e-39,2.0015812855259103
0.027,2.2747603163189308e-17,-2.83425201010713e-35,4.284366889652814,-3.49520619536942e-35,9.25185853854297e-17,6.16790569236198e-17,4.292048754762968e-21,3.617667352017746e-39,2.001700191310737
0.028,2.365551265794994e-17,-2.8279027325648915e-35,4.281100820156608,-3.495206195369419e-35,9.25185853854297e-17,6.16790569236198e-17,4.786069665154604e-21,4.20841030727661e-39,2.0018233765538667
0.029,2.4563423907307766e-17,-2.827151192431333e-35,4.277815785852328,-3.495206195369414e-35,9.25185853854297e-17,6.16790569236198e-17,5.316580993463504e-21,4.8742967767048684e-39,2.001950837960715
0.03,2.5471336923813182e-17,-2.8319973875680215e-35,4.274511651087705,-3.495206195369414e-35,9.25185853854297e-17,6.16790569236198e-17,5.884877080255957e-21,5.621627633078404e-39,2.002082572217528
0.031,2.637925172012152e-17,-2.842441315818635e-35,4.271188279075561,-3.495206195369417e-35,9.25185853854297e-17,6.16790569236198e-17,6.492251599342008e-21,6.456780999409027e-39,2.0022185759912468
0.032,2.7287168308993986e-17,-2.8584829750088055e-35,4.267845531884676,-3.495206195369416e-35,9.25185853854297e-17,6.16790569236198e-17,7.139997552019624e-21,7.386212164639277e-39,2.0023588459293666
